顧客番号,氏名,電話番号,生年月日,メール,郵便番号,住所,購入回数,最終購入日時
A0001,内山 理佐,082-687-8524,1979/06/09,utiyamarisa@nifty.jp,736-0041,広島県安芸郡海田町大正町2-7-8,23,2020/8/29 8:08:55
A0002,角田 則之,042-239-9602,1976/06/24,nryk76@mail.goo.ne.jp,182-0026,東京都調布市小島町1-7-7,47,2020/8/8 5:02:16
S0003,稲垣 聡,0972-97-1147,1991/12/30,,876-0811,大分県佐伯市鶴谷町9-13-7,73,2020/3/5 4:28:16
S0004,秋山 仁三郎,0855-97-4917,1993/08/17,zinzaburou-akiyama@goo.ne.jp,696-0701,島根県邑智郡美郷町潮村5-1-5 潮村コーポ 15F,19,2020/5/3 11:58:16
A0005,下村 希美,0587-11-3409,1971/05/25,nzm-stmr@odn.ne.jp,492-8153,愛知県稲沢市井之口町4138,97,2020/1/11 19:25:33
A0006,古川 裕子,0798-59-0053,1978/09/16,,669-1149,兵庫県西宮市名塩赤坂2042,76,2020/6/25 4:31:19
S0007,柳田 清一,0946-16-5146,1983/08/27,kykz-yngt@example.com,838-0004,福岡県朝倉市隈江3-15-3,6,2020/5/26 2:23:30
T0008,江口 有香,0889-26-8507,1971/05/10,yuka-eguti@plala.or.jp,781-2167,高知県高岡郡日高村鴨地5-13-3 グランフォーラム鴨地,15,2020/11/15 2:42:22
A0009,古田 良弥,025-232-0157,1972/05/18,dk72@sakura.ne.jp,950-1246,新潟県新潟市下山崎2215,9,2020/12/18 18:33:44
S0010,広瀬 定二,0883-55-4098,1985/11/08,esorih4098@example.ad.jp,771-1612,徳島県阿波市市場町上喜来2-7-1,30,2020/5/25 23:11:51
A0011,福岡 兵吉,022-742-0159,1993/10/02,itikuoyh1993@asp.home.ne.jp,983-0047,宮城県仙台市宮城野区銀杏町4-9-1,14,2020/6/21 4:53:03
A0012,大平 多美子,075-902-8183,1991/07/30,rho073019810502@dti.ne.jp,601-8183,京都府京都市南区上鳥羽南島田町1750,5,2020/4/28 17:00:42
S0013,片桐 結衣,042-345-8577,1990/01/03,ktgr8577@dti.ad.jp,189-0002,東京都東村山市青葉町9-4-4,50,2020/5/3 12:20:18
